video_id,datetime,title
qtOKrG_wK5A,2023-03-21T23:00:36Z,"Shannon Curry: Johnny Depp &amp; Amber Heard Trial, Marriage, Dating &amp; Love | Lex Fridman Podcast #366"
Qyrjgf-_Vdk,2023-03-14T17:16:43Z,"Sam Harris: Trump, Pandemic, Twitter, Elon, Bret, IDW, Kanye, AI &amp; UFOs | Lex Fridman Podcast #365"
8EguLJgkc54,2023-03-10T17:14:56Z,Chris Voss: FBI Hostage Negotiator | Lex Fridman Podcast #364
hLZ6PACCBy8,2023-03-06T18:32:56Z,"B-Team Jiu Jitsu: Craig Jones, Nicky Rod, and Nicky Ryan | Lex Fridman Podcast #363"
XiCxj-bXu5M,2023-03-02T19:07:21Z,"Ginni Rometty: IBM CEO on Leadership, Power, and Adversity | Lex Fridman Podcast #362"
J1lN9zkK_k0,2023-02-25T20:25:52Z,Aaron Smith-Levin: Scientology | Lex Fridman Podcast #361
GkZz2I6sK08,2023-02-20T20:17:54Z,"Tim Urban: Tribalism, Marxism, Liberalism, Social Justice, and Politics | Lex Fridman Podcast #360"
y3cw_9ELpQw,2023-02-15T17:14:46Z,"Andrew Strominger: Black Holes, Quantum Gravity, and Theoretical Physics | Lex Fridman Podcast #359"
cFSrxSBrgSc,2023-02-10T18:55:57Z,"Aella: Sex Work, OnlyFans, Porn, Escorting, Dating, and Human Sexuality | Lex Fridman Podcast #358"
jRBksDVs4tg,2023-02-07T17:03:54Z,"Paul Conti: Narcissism, Sociopathy, Envy, and the Nature of Good and Evil | Lex Fridman Podcast #357"
5eK5A_43pkE,2023-02-02T17:33:01Z,"Tim Dodd: SpaceX, Starship, Rocket Engines, and Future of Space Travel | Lex Fridman Podcast #356"
uZN5xjoS6TU,2023-01-28T20:01:31Z,David Kipping: Alien Civilizations and Habitable Worlds | Lex Fridman Podcast #355
GvX-heRWFfA,2023-01-25T17:20:28Z,"Jeremi Suri: Civil War, Slavery, Freedom, and Democracy | Lex Fridman Podcast #354"
aJoRMFWn2Jk,2023-01-21T18:36:55Z,Dennis Whyte: Nuclear Fusion and the Future of Energy | Lex Fridman Podcast #353
BOKCNUqbpH0,2023-01-17T17:33:56Z,Omar Suleiman: Islam | Lex Fridman Podcast #352
Z3_PwvvfxIU,2023-01-11T17:33:09Z,"MrBeast: Future of YouTube, Twitter, TikTok, and Instagram | Lex Fridman Podcast #351"
7Sk6lTLSZcA,2023-01-08T20:20:15Z,1984 by George Orwell | Lex Fridman
NXU_M4030nE,2022-12-29T17:34:42Z,"Betül Kaçar: Origin of Life, Ancient DNA, Panspermia, and Aliens | Lex Fridman Podcast #350"
pNlfHgHJweQ,2022-12-22T19:39:59Z,Bhaskar Sunkara: Socialism and Communism | Lex Fridman Podcast #349
yyBosLx7bbM,2022-12-19T18:56:13Z,Nathalie Cabrol: Search for Alien Life | Lex Fridman Podcast #348
NUkXluf3OYA,2022-12-15T20:24:37Z,Michael Malice: Christmas Special | Lex Fridman Podcast #347
9PIOoJMMptA,2022-12-12T17:09:39Z,Ed Calderon: Mexican Drug Cartels | Lex Fridman Podcast #346
hi9Rf0oLdHk,2022-12-09T02:24:56Z,"Coffeezilla: SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power | Lex Fridman Podcast #345"
FhfmGM6hswI,2022-12-03T17:09:30Z,Roger Gracie: Greatest Jiu Jitsu Competitor of All Time | Lex Fridman Podcast #343
H9AAnV59ddE,2022-11-29T17:03:14Z,"Todd Howard: Skyrim, Elder Scrolls 6, Fallout, and Starfield | Lex Fridman Podcast #342"
-DVyjdw4t9I,2022-11-26T16:23:48Z,Guido van Rossum: Python and the Future of Programming | Lex Fridman Podcast #341
4KiO8GRgwDk,2022-11-22T17:23:09Z,Chris Tarbell: FBI Agent Who Took Down Silk Road | Lex Fridman Podcast #340
5Gk9gIpGvSE,2022-11-18T16:55:57Z,Climate Change Debate: Bjørn Lomborg and Andrew Revkin | Lex Fridman Podcast #339
kFQUDCgMjRc,2022-11-15T16:56:46Z,"Chamath Palihapitiya: Money, Success, Startups, Energy, Poker &amp; Happiness | Lex Fridman Podcast #338"
bqeuFiAUU4o,2022-11-11T17:23:48Z,"Destiny: Politics, Free Speech, Controversy, Sex, War, and Relationships | Lex Fridman Podcast #337"
AF8DOS4C2KM,2022-11-07T15:50:54Z,"Ben Shapiro: Politics, Kanye, Trump, Biden, Hitler, Extremism, and War | Lex Fridman Podcast #336"
vNhSCF9i8Qs,2022-11-04T16:09:32Z,Fiona Hill: Vladimir Putin and Donald Trump | Lex Fridman Podcast #335
OYsYgzzsdT0,2022-11-02T17:23:20Z,"Abbas Amanat: Iran Protests, Mahsa Amini, History, CIA &amp; Nuclear Weapons | Lex Fridman Podcast #334"
cdiD-9MMpb0,2022-10-29T16:37:23Z,"Andrej Karpathy: Tesla AI, Self-Driving, Optimus, Aliens, and AGI | Lex Fridman Podcast #333"
4AWLcxTGZPA,2022-10-24T21:10:38Z,Kanye &#39;Ye&#39; West Interview | Lex Fridman Podcast #332
VeH7qKZr0WI,2022-10-20T16:25:24Z,"Balaji Srinivasan: How to Fix Government, Twitter, Science, and the FDA | Lex Fridman Podcast #331"
oJNvxYEcVAY,2022-10-17T16:45:49Z,"Hikaru Nakamura: Chess, Magnus, Kasparov, and the Psychology of Greatness | Lex Fridman Podcast #330"
